time	V(audio_out)
0.000000000000000e+000	4.500020e+000
1.785714306582317e-009	4.500020e+000
3.571428613164635e-009	4.500020e+000
5.357142919746952e-009	4.500020e+000
7.142857226329270e-009	4.500020e+000
8.928571532911587e-009	4.500020e+000
1.071428583949391e-008	4.500020e+000
1.250000014607622e-008	4.500020e+000
2.500000029215244e-008	4.500020e+000
5.000000058430487e-008	4.500020e+000
7.559732606006459e-008	4.500021e+000
1.002672895623901e-007	4.500021e+000
1.241012518627076e-007	4.500024e+000
1.535110703336901e-007	4.500030e+000
1.983027566750463e-007	4.500049e+000
2.758132021371598e-007	4.500110e+000
3.732888484642491e-007	4.500249e+000
5.306035024810485e-007	4.500662e+000
8.452328105146474e-007	4.502176e+000
1.341552092896392e-006	4.506798e+000
2.334190657659882e-006	4.523607e+000
3.635352681335341e-006	4.560196e+000
5.316903121737269e-006	4.632334e+000
7.525327705098340e-006	4.765434e+000
1.069189136240946e-005	5.003973e+000
1.222715577172069e-005	5.134998e+000
1.330728267260299e-005	5.229856e+000
1.453998692291271e-005	5.331060e+000
1.518394872747068e-005	5.377041e+000
1.569286986514209e-005	5.406544e+000
1.635427385275970e-005	5.436276e+000
1.711947423976673e-005	5.461254e+000
1.792729873200785e-005	5.478911e+000
1.879554258606942e-005	5.491044e+000
1.970048280456591e-005	5.498953e+000
2.101778890378320e-005	5.506139e+000
2.230727607902637e-005	5.510328e+000
2.418841778590773e-005	5.512960e+000
2.619812896218879e-005	5.512210e+000
2.845022474455589e-005	5.506176e+000
3.210112502095374e-005	5.484493e+000
3.698393752095374e-005	5.431335e+000
4.186675002095374e-005	5.341746e+000
4.526776019027127e-005	5.235934e+000
4.894082441274928e-005	5.053924e+000
5.208533722467390e-005	4.825404e+000
5.558248620366694e-005	4.487362e+000
5.905532971944209e-005	4.090503e+000
6.054904572409751e-005	3.905484e+000
6.159981323602081e-005	3.776019e+000
6.254687713607831e-005	3.668413e+000
6.298334468137698e-005	3.625163e+000
6.331363055907455e-005	3.597786e+000
6.374639442429139e-005	3.568931e+000
6.442122390329562e-005	3.534910e+000
6.503976650746309e-005	3.513071e+000
6.566402743014720e-005	3.498500e+000
6.625593800058937e-005	3.489316e+000
6.712059688376974e-005	3.480274e+000
6.802411740788470e-005	3.473669e+000
6.920137047122561e-005	3.467566e+000
7.053325686730454e-005	3.462761e+000
7.272012027302377e-005	3.458029e+000
7.462698040095705e-005	3.456621e+000
7.636133407023923e-005	3.458138e+000
7.871564287889578e-005	3.464855e+000
8.252910033503147e-005	3.485738e+000
8.687360890221572e-005	3.526196e+000
9.175642140221573e-005	3.598322e+000
9.552666906507193e-005	3.685913e+000
9.891632895110536e-005	3.812263e+000
1.025423361318367e-004	4.016129e+000
1.054463610510392e-004	4.244499e+000
1.087281364488633e-004	4.572411e+000
1.122005919079354e-004	4.967773e+000
1.136508233590098e-004	5.141293e+000
1.146890376650791e-004	5.259841e+000
1.158397908690045e-004	5.375816e+000
1.162198053627176e-004	5.407147e+000
1.166571537859066e-004	5.435211e+000
1.171183085588511e-004	5.458428e+000
1.176209928411718e-004	5.477449e+000
1.180769764205545e-004	5.489809e+000
1.187233992524851e-004	5.501756e+000
1.194406496538717e-004	5.510360e+000
1.204785556404495e-004	5.517976e+000
1.214246501121300e-004	5.522163e+000
1.227542679715091e-004	5.525405e+000
1.242827244832819e-004	5.526841e+000
1.262332494355581e-004	5.525593e+000
1.285073477142995e-004	5.519466e+000
1.321932854154760e-004	5.498539e+000
1.370760979154760e-004	5.449312e+000
1.419589104154760e-004	5.368636e+000
1.454297470365573e-004	5.272429e+000
1.493362991120879e-004	5.096228e+000
1.528954877989954e-004	4.854805e+000
1.562642707248841e-004	4.543427e+000
1.597893080341172e-004	4.152184e+000
1.614022759273268e-004	3.956294e+000
1.624964495732644e-004	3.820593e+000
1.632988694496997e-004	3.727152e+000
1.642411121335860e-004	3.629480e+000
1.645862668103603e-004	3.599527e+000
1.650135722510607e-004	3.569844e+000
1.654564657500183e-004	3.545574e+000
1.660404897411474e-004	3.521711e+000
1.665480472270602e-004	3.506986e+000
1.671740425417487e-004	3.494809e+000
1.679193512504350e-004	3.485271e+000
1.689055145120208e-004	3.477113e+000
1.698510098645321e-004	3.471961e+000
1.711297432553049e-004	3.467403e+000
1.726912885775556e-004	3.464011e+000
1.743729710207760e-004	3.462677e+000
1.762668430375583e-004	3.464058e+000
1.785619837229079e-004	3.470311e+000
1.822814070847714e-004	3.491055e+000
1.871642195847714e-004	3.538599e+000
1.920470320847714e-004	3.615427e+000
1.955913514597587e-004	3.705307e+000
1.990184178551571e-004	3.845412e+000
2.026874388804958e-004	4.070285e+000
2.057112451690826e-004	4.325797e+000
2.090429959137863e-004	4.675971e+000
2.123818781365311e-004	5.066645e+000
2.138371691321975e-004	5.238078e+000
2.148211315203265e-004	5.344573e+000
2.152617922994756e-004	5.385341e+000
